id,left,top,right,bottom,speed,dir,Nov8Fire,Nov9Fire,Nov9Pred,elevation,band1,band2,band3,band4,burnable
132,-121.7802596,39.81675335,-121.7777596,39.81425335,1,0,0,0,0,0,3895.1731,3380.773404,3162.905471,3602.638146,1
133,-121.7802596,39.81425335,-121.7777596,39.81175335,1,0,0,0,0,0,4242.989173,3873.597143,3863.984962,4099.689474,1
134,-121.7802596,39.81175335,-121.7777596,39.80925335,1,0,0,0,0,0,4185.500912,3704.099696,3620.611094,3696.699544,0
135,-121.7802596,39.80925335,-121.7777596,39.80675335,0,0,0,0,0,0,4127.043617,3646.511854,3548.861398,3604.545289,1
136,-121.7802596,39.80675335,-121.7777596,39.80425335,0,0,0,0,0,0,4112.561398,3664.198328,3617.159574,4066.900152,1
137,-121.7802596,39.80425335,-121.7777596,39.80175335,1,0,0,0,0,0,3732.15076,3041.351064,2725.744529,3061.214742,0
138,-121.7802596,39.80175335,-121.7777596,39.79925335,1,0,0,0,0,0,4035.242553,3493.078267,3365.738602,3569.352584,1
139,-121.7802596,39.79925335,-121.7777596,39.79675335,1,0,0,0,0,0,3757.38997,3078.055623,2719.515046,3232.769301,0
140,-121.7802596,39.79675335,-121.7777596,39.79425335,1,0,0,0,0,0,3797.605015,3152.620669,2886.604255,3277.205015,0
141,-121.7802596,39.79425335,-121.7777596,39.79175335,1,0,0,0,0,0,3847.728267,3219.90152,3015.293161,3233.878571,1
142,-121.7802596,39.79175335,-121.7777596,39.78925335,1,0,0,0,0,0,3813.205319,3157.36003,2904.525684,3081.466565,0
143,-121.7802596,39.78925335,-121.7777596,39.78675335,1,0,0,0,0,0,3869.249173,3250.22782,3046.576241,3263.313835,1
144,-121.7802596,39.78675335,-121.7777596,39.78425335,1,0,0,0,0,0,4147.811398,3652.516717,3561.405927,3785.616109,0
145,-121.7802596,39.78425335,-121.7777596,39.78175335,1,0,0,0,0,0,3881.761398,3259.315198,3030.978267,3401.557143,0
146,-121.7802596,39.78175335,-121.7777596,39.77925335,1,0,0,0,0,0,3876.116413,3261.877052,3038.315198,3365.495289,0
147,-121.7802596,39.77925335,-121.7777596,39.77675335,1,0,0,0,0,0,3998.128419,3442.89696,3298.231155,3419.390729,1
148,-121.7802596,39.77675335,-121.7777596,39.77425335,1,0,0,0,0,0,4134.191185,3718.344073,3596.960182,3957.228267,0
149,-121.7802596,39.77425335,-121.7777596,39.77175335,1,0,0,0,0,0,4285.145897,3970.391185,3937.457903,3685.793465,1
150,-121.7802596,39.77175335,-121.7777596,39.76925335,0,0,0,0,0,0,4123.933891,3773.157903,3434.78769,4691.054863,0
151,-121.7802596,39.76925335,-121.7777596,39.76675335,0,0,0,0,0,0,3890.167781,3455.179483,2898.624316,4795.639666,0
152,-121.7802596,39.76675335,-121.7777596,39.76425335,1,0,0,0,0,0,3619.585113,2909.153684,2287.223308,3479.691429,0
153,-121.7802596,39.76425335,-121.7777596,39.76175335,1,0,0,0,0,0,3958.314438,3387.754103,2946.96459,3724.320973,0
