id,band1_norm,band2_norm,band3_norm,band4_norm
16520,0.508691078,0.371455662,0.277160944,0.335678614
16521,0.540830633,0.401106637,0.316940094,0.325431972
16522,0.512003405,0.367405059,0.276856737,0.308761037
16523,0.532200964,0.389872814,0.305012012,0.286385068
16524,0.516786741,0.367177003,0.279704671,0.2774231
16525,0.523916911,0.369358792,0.278839314,0.252384429
16526,0.572086412,0.431659057,0.35202244,0.314321276
16527,0.625665308,0.492596488,0.419969587,0.365343636
16528,0.568384767,0.427209071,0.347549854,0.325471813
16529,0.610932447,0.479120274,0.412661032,0.338025824
16530,0.60655818,0.46590648,0.391462224,0.319803974
16531,0.551681316,0.401067126,0.318868628,0.273304738
16532,0.557972565,0.417844955,0.342797499,0.306248561
16533,0.629735037,0.50307737,0.439479843,0.369604957
16534,0.608535413,0.469324884,0.392303309,0.354496068
16535,0.580264608,0.426344806,0.337395436,0.273901534
16536,0.639963879,0.493022209,0.408066925,0.318631495
16537,0.575081011,0.422221454,0.334273405,0.280412652
16538,0.526119593,0.363762508,0.272779499,0.248794443
16539,0.602710257,0.448083186,0.364257402,0.336496133
16540,0.457000034,0.377082026,0.296867916,0.522871403
16541,0.464878764,0.39090242,0.317958831,0.536569974
16542,0.478950038,0.40947499,0.329188484,0.54644739
16543,0.51341496,0.451283627,0.371863295,0.611796324
16544,0.485807805,0.417861873,0.336051087,0.584491852
16545,0.535003224,0.474352619,0.409226086,0.595911017
16546,0.550669664,0.498063703,0.456881611,0.622873185
16547,0.536565049,0.488415425,0.4190247,0.652348602
16548,0.48116712,0.4135496,0.32500603,0.606244654
16549,0.50360877,0.431361078,0.350488046,0.621967103
16550,0.4522775,0.342638659,0.242867539,0.365759529
16551,0.42810166,0.30875016,0.213932965,0.333278915
16552,0.477504427,0.3981246,0.31366253,0.578311803
16553,0.500550538,0.411074979,0.319937415,0.512095105
16554,0.448276037,0.336358916,0.240168948,0.37786635
16555,0.526482613,0.452247574,0.369847832,0.567420859
16556,0.497286689,0.406989701,0.315181068,0.438044965
16557,0.429035579,0.315793434,0.215474282,0.336320929
16558,0.414425205,0.302240848,0.191350043,0.294282248
16559,0.419096368,0.298939807,0.200088793,0.258279111
16560,0.434512556,0.320691681,0.235160096,0.30119386
16561,0.461511597,0.3784353,0.305295449,0.482976746
16562,0.412514825,0.298526983,0.208795784,0.297360556
16563,0.447132844,0.355328473,0.284941335,0.422143579
16564,0.431243075,0.338650492,0.257606164,0.436996277
16565,0.413491493,0.291285635,0.20316211,0.274531812
16566,0.426466431,0.300949637,0.223316822,0.262123921
16567,0.41760599,0.291723945,0.209965192,0.26791109
16568,0.411748876,0.290476684,0.212169486,0.275706256
16569,0.433130751,0.328710508,0.257216906,0.34833636
16570,0.429479322,0.328092156,0.243042302,0.418107774
16571,0.428336537,0.32193441,0.240165671,0.363174045
16572,0.409582701,0.290687513,0.196423627,0.324432092
16573,0.407823365,0.27703954,0.180956775,0.273778032
16574,0.433595873,0.3090633,0.215072082,0.293442599
16575,0.445745208,0.318830795,0.221957456,0.376361859
16576,0.458968013,0.339177719,0.222835732,0.511089681
16577,0.470415491,0.357106096,0.238157284,0.515577888
16578,0.456596111,0.336878236,0.214464088,0.466223629
16579,0.445870367,0.326816295,0.194934596,0.522074843
16580,0.454974858,0.341327734,0.208886848,0.559890319
16581,0.440580918,0.312663931,0.185826597,0.434529606
16582,0.446764722,0.323233707,0.18837896,0.545492521
16583,0.454940864,0.333108142,0.199643835,0.518659663
16584,0.461388458,0.336987427,0.206656686,0.539176601
16585,0.482032388,0.35940538,0.247144474,0.510089713
16586,0.463000329,0.341229688,0.209999845,0.532106062
16587,0.465002937,0.339302436,0.213444376,0.514089056
16588,0.470428963,0.345580699,0.218490949,0.524820454
16589,0.487592782,0.367730997,0.252133427,0.526796361
16590,0.501709058,0.374258389,0.268392734,0.465498889
16591,0.496240054,0.362522779,0.25499216,0.433513891
16592,0.486831714,0.354296613,0.243269297,0.415197868
16593,0.485221588,0.366241591,0.249407428,0.474181411
16594,0.482531566,0.36173565,0.240586343,0.466450138
16595,0.466939135,0.335834737,0.209853705,0.443199449
16596,0.458504856,0.321183549,0.19627678,0.383281841
16597,0.506825533,0.391024731,0.268440216,0.559596473
16598,0.50610678,0.391154749,0.259255845,0.643271612
16599,0.519293828,0.40145316,0.285210227,0.64261726
16600,0.520472292,0.397241651,0.288943375,0.595661132
16601,0.571162065,0.461649465,0.379592381,0.582554506
16602,0.522557324,0.389565692,0.272724329,0.366279379
16603,0.468354665,0.316748193,0.185544918,0.393059828
16604,0.47357143,0.324612311,0.197700747,0.397687792
16605,0.498212096,0.367448103,0.246369382,0.48018853
16606,0.520175462,0.397889698,0.291233491,0.516820642
16607,0.581044406,0.465483895,0.399809463,0.51921421
16608,0.573067961,0.472117383,0.373974079,0.654134066
16609,0.595275557,0.487414649,0.386253941,0.428407101
16610,0.530905866,0.396614278,0.280859304,0.376580197
16611,0.575568268,0.459141981,0.341805768,0.470660089
16612,0.571558192,0.446063682,0.325119417,0.331115781
16613,0.585651079,0.464542674,0.340062577,0.333660303
16614,0.496961501,0.342558378,0.226249123,0.264143005
16615,0.489881973,0.336269712,0.228637566,0.318653691
16616,0.483921852,0.333392604,0.228466138,0.313043649
16617,0.465564772,0.301285912,0.200169295,0.196249527
16618,0.464776384,0.306781574,0.203110562,0.234047138
16619,0.575690406,0.441598453,0.374233192,0.331909797
16620,0.549616183,0.409757376,0.341201618,0.288123004
16621,0.615890038,0.4956651,0.444387675,0.373371805
16622,0.53342711,0.39653117,0.303949763,0.375304115
16623,0.483244422,0.335216562,0.233023825,0.339083789
16624,0.503906815,0.360706242,0.264697331,0.39720679
16625,0.512285283,0.360153992,0.274082724,0.311201624
16626,0.489817969,0.336450748,0.237860189,0.30584519
16627,0.489039188,0.353067375,0.237294997,0.468735619
16628,0.489740051,0.346602709,0.241545143,0.372128587
16629,0.510343234,0.376181876,0.289518308,0.415818958
16630,0.487524427,0.34617913,0.242105145,0.372243078
16631,0.515540718,0.377541339,0.288502721,0.336462608
16632,0.505864899,0.36441496,0.269943403,0.31447126
16633,0.513491597,0.370810984,0.281514406,0.30506462
16634,0.529307379,0.392041219,0.30791114,0.330461098
